Пользователь,Вопрос,Категория,Оценка
1,Я понимаю миссию компании.,Values,3
1,Вся необходимая информация находится в свободном доступе,Ценности,1
1,"Когда у меня возникают проблемы в работе, я с легкостью могу обсудить это с руководителем",Ценности,4
1,Я получаю рассылку для ознакомления с результатами различных проверок компании,Ценности,3
1,Я почувствовал себя частью коллектива достаточно быстро,Ценности,2
1,"Я считаю работу в команде эффективнее, чем работу каждого в отдельности",Ценности,1
1,"В начале моей работы в компании, мои коллеги всегда помогали мне",Ценности,4
1,Должность и оплата труда в моей компании сопоставимы,Ценности,3
1,Мой карьерный рост зависит от моей квалификации,Ценности,2
1,Я или мои коллеги часто предлагаем новые идеи и методы решения поставленных задач,Ценности,1
1,Мне понятна политика компании,Коммуникации,0
1,При необходимости я могу обсудить любую задачу с коллегами из смежных отделов,Коммуникации,3
1,"В компании есть человек, являющийся для меня примером",Лидерство,4
1,"Я убежден, что мои коллеги, по большей части, честны со мной",Лидерство,3
1,Я устроился в компанию достаточно быстро,Инновации,2
1,Мой рабочий график подстраивается под мои активные часы/нужды/потребности,Инновации,1
1,Выполненные нами коллективные задачи важны для развития компании,Работа в команде,0
1,Я всегда могу положиться на своих коллег в решении рабочих задач,Работа в команде,3
1,Я с уверенностью могу запланировать свой отдых в утвержденные заранее даты,Работа и личная жизнь,2
1,В нашей компании есть места для отдыха/принятия пищи,Работа и личная жизнь,1
